mse-inside,mse_outside,const satisfaction-train,const satisfaction-test,l_1 norm,l_2 norm,l_inf norm,selected nodes,feasibility,cost,,,,,
0.021001777,0.035311658,1,0.970588235,3.476978746,1.212809197,0.569981001,"[0, 2, 3, 5, 6]","['f', 'f', 'f']",3176.830339,max_weight_bound,1,cost weights,[1. 1.],11:54.0
0.023846742,0.042784445,1,1,3.435213289,1.210301397,0.569981001,"[0, 2, 3, 6, 7]","['f', 'f', 'f']",3051.452582,max_weight_bound,1,cost weights,[1. 1.],12:24.7
0.02138151,0.036182392,1,0.970588235,3.598932332,1.21730446,0.569981001,"[0, 2, 3, 4, 6]","['f', 'f', 'f']",2983.576661,max_weight_bound,1,cost weights,[1. 1.],11:18.5
0.399065554,0.714616954,0.662790698,0.676470588,6.706884104,2.126994443,1.133813322,"[0, 2, 3, 5, 7]","['f', 'f', 'f']",2952.555691,max_weight_bound,1,cost weights,[1. 1.],12:04.8
0.985045016,1.207226157,0.965116279,0.911764706,5.187447683,1.8120885,1.005599596,"[0, 2, 3, 6, 8]","['f', 'f', 'f']",2891.81892,max_weight_bound,1,cost weights,[1. 1.],12:34.6
0.023839068,0.042767566,1,1,3.435518405,1.210306039,0.569981001,"[0, 2, 5, 6, 7]","['f', 'f', 'f']",2884.948173,max_weight_bound,1,cost weights,[1. 1.],14:10.8
0.020128248,0.034782697,1,0.970588235,1.275984454,0.513449496,0.258350213,"[0, 1, 3, 5, 6]","['f', 'f', 'f']",2807.407231,max_weight_bound,1,cost weights,[1. 1.],08:21.4
0.021780027,0.036579154,1,0.970588235,3.78499636,1.224214194,0.569981001,"[0, 2, 3, 4, 5]","['f', 'f']",2775.637794,max_weight_bound,1,cost weights,[1. 1.],11:06.1
0.021947602,0.039986677,0.965116279,0.941176471,3.347547826,1.20493189,0.569981001,"[0, 2, 4, 5, 6]","['f', 'f', 'f']",2683.725609,max_weight_bound,1,cost weights,[1. 1.],13:00.4
0.020197848,0.034890521,1,0.970588235,1.268268966,0.513270223,0.258350213,"[0, 1, 3, 6, 7]","['f', 'f', 'f']",2681.29342,max_weight_bound,1,cost weights,[1. 1.],08:48.0
