mse-inside,mse_outside,const satisfaction-train,const satisfaction-test,l_1 norm,l_2 norm,l_inf norm,selected nodes,feasibility,,,,,,,,,,,,,
0.018062081,0.037800159,1,1,1.662217059,0.522356419,0.209741672,"[0, 1, 2, 3, 4]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:39.8,,,,,,,,
0.018121967,0.037319485,1,1,1.710289759,0.523282827,0.209741672,"[0, 1, 2, 3, 5]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:43.0,,,,,,,,
0.017799016,0.036998734,1,1,1.656587123,0.522417965,0.209741672,"[0, 1, 2, 3, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:45.7,,,,,,,,
0.432324588,0.713513672,0.651162791,0.647058824,4.88821878,1.812737518,1.12984702,"[0, 1, 2, 3, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:48.4,,,,,,,,
1.036879301,0.934420764,1,1,3.725052728,1.36905378,1.086193129,"[0, 1, 2, 3, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:50.8,,,,,,,,
0.017633229,0.037667353,1,1,1.722137039,0.523468976,0.209741672,"[0, 1, 2, 4, 5]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:59.3,,,,,,,,
0.017797973,0.037003208,1,1,1.663648694,0.522432812,0.209741672,"[0, 1, 2, 4, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:02.3,,,,,,,,
0.432311594,0.713482559,0.651162791,0.647058824,4.895578642,1.812720272,1.129880831,"[0, 1, 2, 4, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:05.3,,,,,,,,
1.036852002,0.934437096,1,1,3.732181921,1.368943045,1.086135194,"[0, 1, 2, 4, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:08.1,,,,,,,,
0.017800879,0.036999043,1,1,1.656757466,0.52241694,0.209741672,"[0, 1, 2, 5, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:11.0,,,,,,,,
0.432324648,0.713510156,0.651162791,0.647058824,4.888442111,1.812727089,1.12985149,"[0, 1, 2, 5, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:14.3,,,,,,,,
1.036907315,0.934443951,1,1,3.725232012,1.369024669,1.086174056,"[0, 1, 2, 5, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:17.2,,,,,,,,
0.0182319,0.037711352,1,1,1.678957558,0.522600183,0.209741672,"[0, 1, 2, 6, 7]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:18.6,,,,,,,,
