
Gurobi 9.5.0 (win64) logging started Tue Jun 28 16:26:13 2022

Set parameter LogFile to value "C:\Users\kmajd1\Documents\NNRepLayer_v2\demos\walking_example\dynamic_constraint\repair_net/logs/opt_log_6_28_2022_16_18_43.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 8 physical cores, 16 logical processors, using up to 16 threads
Optimize a model with 213067 rows, 136399 columns and 1380619 nonzeros
Model fingerprint: 0x1a11d248
Model has 270 quadratic objective terms
Variable types: 57007 continuous, 79392 integer (79392 binary)
Coefficient statistics:
  Matrix range     [2e-04, 5e+01]
  Objective range  [5e-04, 2e+00]
  QObjective range [7e-02, 7e-02]
  Bounds range     [1e+00, 5e+01]
  RHS range        [3e-05, 5e+01]
Presolve removed 130140 rows and 51840 columns (presolve time = 5s) ...
Presolve removed 130140 rows and 51840 columns (presolve time = 10s) ...
Presolve removed 130140 rows and 51840 columns
Presolve time: 11.67s
Presolved: 82927 rows, 84559 columns, 1172719 nonzeros
Presolved model has 270 quadratic objective terms
Variable types: 57007 continuous, 27552 integer (27552 binary)
Root relaxation presolve removed 29184 rows and 27552 columns (presolve time = 5s) ...
Root relaxation presolve removed 29184 rows and 27552 columns
Root relaxation presolved: 53743 rows, 57007 columns, 1114351 nonzeros
Root relaxation presolved model has 270 quadratic objective terms


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.7521229e+01   0.000000e+00   0.000000e+00     22s
   13826    2.7521229e+01   2.236348e+04   0.000000e+00     25s
   26709    2.7521229e+01   1.749248e+04   0.000000e+00     30s
   36112    2.7521229e+01   1.444126e+04   0.000000e+00     35s
   43768    2.7521229e+01   1.426436e+04   0.000000e+00     40s
   50708    2.7521229e+01   1.275918e+04   0.000000e+00     45s
   57344    2.7521229e+01   1.208117e+04   0.000000e+00     50s
   63174    2.7521229e+01   1.124679e+04   0.000000e+00     55s
   68626    2.7521229e+01   1.062012e+04   0.000000e+00     60s
   73980    2.7521229e+01   1.140781e+04   0.000000e+00     65s
   79108    2.7521229e+01   1.082580e+04   0.000000e+00     70s
   83862    2.7521229e+01   1.001690e+04   0.000000e+00     75s
   88488    2.7521229e+01   1.063083e+04   0.000000e+00     80s
   93223    2.7521229e+01   1.042169e+04   0.000000e+00     85s
   97978    2.7521229e+01   1.102476e+04   0.000000e+00     90s
  102172    2.7521229e+01   9.652529e+03   0.000000e+00     95s
  106622    2.7521229e+01   1.060056e+04   0.000000e+00    100s
  111186    2.7521229e+01   9.271129e+03   0.000000e+00    105s
  115014    2.6955409e+01   9.946848e+03   0.000000e+00    110s
  117898    2.5598130e+01   1.252382e+04   0.000000e+00    116s
  120418    2.5602573e+01   9.107522e+03   0.000000e+00    120s
  123238    2.1753813e+01   1.319609e+04   0.000000e+00    125s
  126084    2.1773596e+01   1.075867e+04   0.000000e+00    130s
  128544    2.1790814e+01   9.019666e+03   0.000000e+00    135s
  131152    2.1791821e+01   8.564014e+03   0.000000e+00    140s
  133871    2.1807453e+01   1.056933e+04   0.000000e+00    146s
  136257    2.1816573e+01   1.176173e+04   0.000000e+00    150s
  138605    2.1824736e+01   1.051330e+04   0.000000e+00    155s
  141226    2.1838645e+01   9.054784e+03   0.000000e+00    160s
  143759    2.1847620e+01   1.085454e+04   0.000000e+00    165s
  146066    2.1859250e+01   9.384706e+03   0.000000e+00    170s
  148379    2.1868331e+01   9.821263e+03   0.000000e+00    175s
  150915    2.1879315e+01   7.679869e+03   0.000000e+00    181s
  153207    2.1887229e+01   8.211924e+03   0.000000e+00    185s
  155486    2.1899041e+01   1.181620e+04   0.000000e+00    190s
  157817    2.1909176e+01   8.734114e+03   0.000000e+00    195s
  160120    2.1913942e+01   7.941436e+03   0.000000e+00    200s
  162413    2.1919470e+01   1.250097e+04   0.000000e+00    205s
  164627    2.1922559e+01   9.347514e+03   0.000000e+00    210s
  166840    2.1926946e+01   7.762378e+03   0.000000e+00    215s
  169008    2.1931610e+01   1.315241e+04   0.000000e+00    220s
  171268    2.1933642e+01   8.376988e+03   0.000000e+00    225s
  173529    2.1940229e+01   9.401965e+03   0.000000e+00    230s
  175762    2.1946594e+01   1.213521e+04   0.000000e+00    235s
  177992    2.1941003e+01   1.041005e+04   0.000000e+00    240s
  180222    1.0004864e+01   8.740622e+03   0.000000e+00    245s
  182806    1.0038910e+01   9.023186e+03   0.000000e+00    250s
  185009    1.0058706e+01   9.996722e+03   0.000000e+00    255s
  187268    1.0085044e+01   1.141240e+04   0.000000e+00    260s
  189543    1.0108700e+01   1.115513e+04   0.000000e+00    265s
  191840    1.0125697e+01   8.405222e+03   0.000000e+00    270s
  194336    1.0151985e+01   9.845103e+03   0.000000e+00    275s
  196559    1.0169027e+01   1.394937e+04   0.000000e+00    280s
  198842    1.0187688e+01   7.425022e+03   0.000000e+00    285s
  201188    1.0207114e+01   1.764845e+04   0.000000e+00    290s
  203500    1.0222060e+01   8.833002e+03   0.000000e+00    295s
  205768    1.0236730e+01   9.179332e+03   0.000000e+00    300s
  208084    1.0253435e+01   1.927288e+04   0.000000e+00    305s
  210374    1.0269871e+01   9.875381e+03   0.000000e+00    310s
  212655    1.0285512e+01   7.656221e+03   0.000000e+00    316s
  214683    1.0293070e+01   2.037169e+04   0.000000e+00    320s
  216940    1.0304157e+01   7.487915e+03   0.000000e+00    325s
  219204    1.0315182e+01   8.153654e+03   0.000000e+00    330s
  221181    1.0325925e+01   8.751063e+03   0.000000e+00    335s
  223490    1.0339904e+01   1.310100e+04   0.000000e+00    340s
  225815    1.0354312e+01   7.449885e+03   0.000000e+00    345s
  228110    1.0367745e+01   7.946670e+03   0.000000e+00    350s
  230513    1.0385567e+01   7.531862e+03   0.000000e+00    355s
  232559    1.0397167e+01   7.990294e+03   0.000000e+00    360s
  234932    1.0413198e+01   8.799130e+03   0.000000e+00    365s
  237009    1.0425361e+01   7.429623e+03   0.000000e+00    370s
  239075    1.0450849e+01   7.927717e+03   0.000000e+00    375s
  241442    1.0466098e+01   7.727103e+03   0.000000e+00    380s
  243546    1.0479436e+01   7.155536e+03   0.000000e+00    386s
  245594    1.0497517e+01   8.385823e+03   0.000000e+00    390s
  247954   -2.5778713e+01   1.392386e+04   0.000000e+00    395s
  250079   -2.5717649e+01   9.006726e+03   0.000000e+00    400s
  252161   -2.5677163e+01   9.456825e+03   0.000000e+00    405s
  254525   -2.5623767e+01   7.010333e+03   0.000000e+00    410s
  256975   -2.5576937e+01   2.873139e+04   0.000000e+00    416s
  259084   -2.5509437e+01   1.011930e+04   0.000000e+00    420s
  261505   -2.5449317e+01   8.150895e+03   0.000000e+00    425s
  263901   -2.5408620e+01   1.016507e+04   0.000000e+00    430s
  266062   -2.5368791e+01   9.409782e+03   0.000000e+00    435s
  268171   -2.5334950e+01   7.032788e+03   0.000000e+00    440s
  270593   -2.5298828e+01   1.346879e+04   0.000000e+00    446s
  272694   -2.5255500e+01   6.778209e+03   0.000000e+00    450s
  275095   -2.5215459e+01   7.181861e+03   0.000000e+00    455s
  277473   -2.5135285e+01   7.091785e+03   0.000000e+00    460s
  279867   -2.5063725e+01   7.575851e+03   0.000000e+00    465s
  281978   -2.4993088e+01   7.116874e+03   0.000000e+00    470s
  284427   -1.3510041e+02   8.548764e+03   0.000000e+00    475s
  286632   -1.3496468e+02   1.063460e+04   0.000000e+00    480s
  289154   -1.3481426e+02   7.531113e+03   0.000000e+00    486s
  291320   -1.3470124e+02   9.470649e+03   0.000000e+00    490s
  293738   -1.3456061e+02   1.476535e+04   0.000000e+00    495s
  295916   -1.3444803e+02   6.894137e+03   0.000000e+00    500s
