
Gurobi 9.5.1 (mac64[x86]) logging started Thu Jun  9 21:18:33 2022

Set parameter LogFile to value "/Users/keyvanmajd/Documents/GitHub/NNRepLayer_v2/demos/walking_example/dynamic_constraint/repair_net/logs/opt_log_6_9_2022_21_17_37.log"
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (mac64[x86])
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 40962 rows, 25207 columns and 116130 nonzeros
Model fingerprint: 0x708af86e
Model has 151 quadratic objective terms
Variable types: 10807 continuous, 14400 integer (14400 binary)
Coefficient statistics:
  Matrix range     [7e-04, 5e+01]
  Objective range  [8e-03, 3e+00]
  QObjective range [1e-01, 2e+00]
  Bounds range     [2e-01, 5e+01]
  RHS range        [2e-04, 5e+01]
Presolve removed 26935 rows and 12068 columns
Presolve time: 0.32s
Presolved: 14027 rows, 13139 columns, 67142 nonzeros
Presolved model has 151 quadratic objective terms
Variable types: 9108 continuous, 4031 integer (4031 binary)
Root relaxation presolve removed 4028 rows and 4028 columns
Root relaxation presolved: 9999 rows, 9111 columns, 59086 nonzeros
Root relaxation presolved model has 151 quadratic objective terms


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   26008    3.6025881e+01   1.686062e+02   0.000000e+00      5s
   44373    2.1532964e+01   2.429579e+01   0.000000e+00     10s
   62517   -1.7380259e+01   2.429579e+01   0.000000e+00     15s
   80213   -4.6513947e+01   2.429579e+01   0.000000e+00     20s
   98021   -8.4325626e+01   2.429579e+01   0.000000e+00     25s
  116277   -1.2439271e+02   2.429579e+01   0.000000e+00     30s
  134309   -1.5390614e+02   2.429579e+01   0.000000e+00     35s
  151557   -1.9335074e+02   2.429579e+01   0.000000e+00     40s
  169813   -2.2202406e+02   2.429579e+01   0.000000e+00     45s
  187957   -2.6205413e+02   2.429579e+01   0.000000e+00     50s
  205877   -2.9046245e+02   2.429579e+01   0.000000e+00     55s
  224133   -3.2963420e+02   2.429579e+01   0.000000e+00     60s
  242165   -3.6914405e+02   2.429579e+01   0.000000e+00     65s
  260533   -3.9842570e+02   2.429579e+01   0.000000e+00     70s
  278677   -4.3814090e+02   2.429579e+01   0.000000e+00     75s
  297045   -4.6780941e+02   2.429579e+01   0.000000e+00     80s
  314517   -5.0716417e+02   2.429579e+01   0.000000e+00     85s
  332773   -5.4679944e+02   2.429579e+01   0.000000e+00     90s
  351029   -5.7664510e+02   2.429579e+01   0.000000e+00     95s
  368949   -6.1575597e+02   2.429579e+01   0.000000e+00    100s
  387205   -6.4457986e+02   2.429579e+01   0.000000e+00    105s
  405461   -6.8414546e+02   2.429579e+01   0.000000e+00    110s
  423717   -7.2384303e+02   2.429579e+01   0.000000e+00    115s
  441861   -7.5353500e+02   2.429579e+01   0.000000e+00    120s
  460005   -7.9346634e+02   2.429579e+01   0.000000e+00    125s
  477813   -8.2402652e+02   2.429579e+01   0.000000e+00    130s
  495845   -8.6365140e+02   2.429579e+01   0.000000e+00    135s
  514101   -8.9247273e+02   2.429579e+01   0.000000e+00    140s
  532245   -9.3189387e+02   2.429579e+01   0.000000e+00    145s
  550389   -9.7083216e+02   2.429579e+01   0.000000e+00    150s
  568757   -9.9995019e+02   2.429579e+01   0.000000e+00    155s
  587573   -1.0390734e+03   2.429579e+01   0.000000e+00    160s
  605941   -1.0770252e+03   2.429579e+01   0.000000e+00    165s
  622853   -1.1064117e+03   2.429579e+01   0.000000e+00    170s
  639989   -1.1363462e+03   2.429579e+01   0.000000e+00    175s
  658357   -1.1746681e+03   2.429579e+01   0.000000e+00    180s
  676277   -1.2135178e+03   2.429579e+01   0.000000e+00    185s
  694421   -1.2431299e+03   2.429579e+01   0.000000e+00    190s
  712677   -1.2835554e+03   2.429579e+01   0.000000e+00    195s
  730597   -1.3136179e+03   2.429579e+01   0.000000e+00    200s
  748853   -1.3530001e+03   2.429579e+01   0.000000e+00    205s
  767221   -1.3933001e+03   2.429579e+01   0.000000e+00    210s
  786149   -1.4227627e+03   2.429579e+01   0.000000e+00    215s
  805077   -1.4626768e+03   2.429579e+01   0.000000e+00    220s
  823445   -1.5017330e+03   2.429579e+01   0.000000e+00    225s
  841701   -1.5306799e+03   2.429579e+01   0.000000e+00    230s
  860069   -1.5692943e+03   2.429579e+01   0.000000e+00    235s
  878437   -1.6081497e+03   2.429579e+01   0.000000e+00    240s
  896581   -1.6390892e+03   2.429579e+01   0.000000e+00    245s
  914725   -1.6781984e+03   2.429579e+01   0.000000e+00    250s
  933093   -1.7185256e+03   2.429579e+01   0.000000e+00    255s
  951461   -1.7484403e+03   2.429579e+01   0.000000e+00    260s
  969829   -1.7886901e+03   2.429579e+01   0.000000e+00    265s
  988085   -1.8287841e+03   2.429579e+01   0.000000e+00    270s
 1006229   -1.8575342e+03   2.429579e+01   0.000000e+00    275s
 1024149   -1.8981103e+03   2.429579e+01   0.000000e+00    280s
 1041845   -1.9285236e+03   2.429579e+01   0.000000e+00    285s
 1058757   -1.9686566e+03   2.429579e+01   0.000000e+00    290s
 1077013   -1.9981597e+03   2.429579e+01   0.000000e+00    295s
 1095157   -2.0366393e+03   2.429579e+01   0.000000e+00    300s
 1113413   -2.0655998e+03   2.429579e+01   0.000000e+00    305s
 1130437   -2.1035435e+03   2.429579e+01   0.000000e+00    310s
 1148469   -2.1331906e+03   2.429579e+01   0.000000e+00    315s
 1166389   -2.1726337e+03   2.429579e+01   0.000000e+00    320s
 1184533   -2.2114558e+03   2.429579e+01   0.000000e+00    325s
 1202901   -2.2401630e+03   2.429579e+01   0.000000e+00    330s
 1221045   -2.2794722e+03   2.429579e+01   0.000000e+00    335s
 1239301   -2.3100316e+03   2.429579e+01   0.000000e+00    340s
 1257557   -2.3504261e+03   2.429579e+01   0.000000e+00    345s
 1275813   -2.3898631e+03   2.429579e+01   0.000000e+00    350s
 1293845   -2.4203615e+03   2.429579e+01   0.000000e+00    355s
 1312101   -2.4605846e+03   2.429579e+01   0.000000e+00    360s
 1330357   -2.4898222e+03   2.429579e+01   0.000000e+00    365s

Root relaxation: interrupted, 1339564 iterations, 366.00 seconds (914.48 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0          -    0               -   36.06101      -     -  367s

Explored 1 nodes (1339564 simplex iterations) in 367.71 seconds (916.61 work units)
Thread count was 8 (of 8 available processors)

Solution count 0

Solve interrupted
Best objective -, best bound 3.606101051829e+01, gap -
